bag_timestamp,gps_timestamp_sec,gps_timestamp_nanosec,latitude,longitude,altitude
1.79E+18,1787901835,958694528,12.6518856,80.1398355,15.53819794
1.79E+18,1787901836,208704768,12.6519034,80.1398346,15.59823287
1.79E+18,1787901836,458715264,12.6519214,80.1398337,15.61826816
1.79E+18,1787901836,708725248,12.6519394,80.1398328,15.60830345
1.79E+18,1787901836,958736768,12.6519574,80.1398319,15.59833873
1.79E+18,1787901837,208740864,12.6519753,80.139831,15.58837383
1.79E+18,1787901837,458749312,12.6519932,80.1398301,15.55840894
1.79E+18,1787901837,708758784,12.6520111,80.1398292,15.52844404
1.79E+18,1787901837,958766464,12.652029,80.1398283,15.51847914
1.79E+18,1787901838,208776704,12.652047,80.1398273,15.50851476
1.79E+18,1787901838,458792064,12.652065,80.1398262,15.49855073
1.79E+18,1787901838,708803840,12.652083,80.1398251,15.48858669
1.79E+18,1787901838,958811520,12.6521009,80.1398241,15.47862213
1.79E+18,1787901839,208819968,12.6521188,80.1398233,15.44865688
1.79E+18,1787901839,458836096,12.6521368,80.1398225,15.45869181
1.79E+18,1787901839,708839936,12.6521547,80.139822,15.46872551
1.79E+18,1787901839,958846080,12.6521727,80.1398214,15.45875975
1.79E+18,1787901840,208854528,12.6521907,80.1398209,15.49879363
1.79E+18,1787901840,458863488,12.6522085,80.1398204,15.49882716
1.79E+18,1787901840,708861184,12.6522264,80.1398199,15.49886087
1.79E+18,1787901840,958870656,12.6522443,80.1398194,15.52889457
1.79E+18,1787901841,208877056,12.6522621,80.139819,15.51892775
1.79E+18,1787901841,458883968,12.65228,80.1398185,15.53896145
1.79E+18,1787901841,708890112,12.652298,80.1398181,15.54899498
1.79E+18,1787901841,958897536,12.652316,80.1398176,15.55902886
1.79E+18,1787901842,208907008,12.6523341,80.1398172,15.56906257
1.79E+18,1787901842,458917248,12.6523521,80.1398167,15.55909644
1.79E+18,1787901842,708926976,12.6523702,80.1398162,15.5291305
1.79E+18,1787901842,958939776,12.6523882,80.1398158,15.54916402
1.79E+18,1787901843,208947456,12.6524061,80.1398153,15.54919772
